user_id,gui_id,task_number,gui_number,nlr_query,feature_text,feature_question,timestamp,ranking,selected_gui_id,feature_annotation,matching_annotation
774c7102-7340-4a69-bbdf-38e926fd3c98,ea391d5c-034c-4734-bf09-cee1c1c2f733,1,1,product page,product description,"Is a <b>'product description'</b> feature in the GUI a requirement for you? This feature provides a detailed description of the product, including its features, uses, and benefits.",2023-07-24 13:29:35,"[{'gui_id': '32429', 'ui_comp_id': '32429_7', 'score': 0.9999998807907104}, {'gui_id': '32422', 'ui_comp_id': '32422_24', 'score': 0.9999998807907104}, {'gui_id': '25967', 'ui_comp_id': '25967_10', 'score': 0.9999998807907104}, {'gui_id': '62331', 'ui_comp_id': '62331_1', 'score': 0.9999998807907104}, {'gui_id': '25955', 'ui_comp_id': '62331_4', 'score': 0.9999998807907104}, {'gui_id': '25968', 'ui_comp_id': '25955_14', 'score': 0.9999998807907104}, {'gui_id': '25958', 'ui_comp_id': '25968_6', 'score': 0.9999998807907104}, {'gui_id': '32431', 'ui_comp_id': '25958_9', 'score': 0.9999998807907104}, {'gui_id': '31610', 'ui_comp_id': '32431_11', 'score': 0.9999998807907104}, {'gui_id': '32428', 'ui_comp_id': '31610_4', 'score': 0.9999998807907104}, {'gui_id': '5128', 'ui_comp_id': '32428_23', 'score': 0.9999998807907104}, {'gui_id': '15394', 'ui_comp_id': '5128_4', 'score': 0.8580856323242188}, {'gui_id': '63306', 'ui_comp_id': '15394_10', 'score': 0.8580856323242188}, {'gui_id': '7012', 'ui_comp_id': '63306_10', 'score': 0.8458547592163086}, {'gui_id': '27129', 'ui_comp_id': '7012_22', 'score': 0.8325868844985962}]","""25967""",1,2
774c7102-7340-4a69-bbdf-38e926fd3c98,ea391d5c-034c-4734-bf09-cee1c1c2f733,1,1,product page,discounts,"Often similar GUIs contain a <b>'discounts'</b> feature, is it also required for your GUI? This feature displays any discounts or promotional offers available for the product.",2023-07-24 13:30:07,"[{'gui_id': '35152', 'ui_comp_id': '35152_9', 'score': 0.8302739262580872}, {'gui_id': '35151', 'ui_comp_id': '35151_12', 'score': 0.8302739262580872}, {'gui_id': '32422', 'ui_comp_id': '32422_9', 'score': 0.7732970714569092}, {'gui_id': '42804', 'ui_comp_id': '42804_19', 'score': 0.7680407762527466}, {'gui_id': '42802', 'ui_comp_id': '42802_25', 'score': 0.7680407762527466}, {'gui_id': '32437', 'ui_comp_id': '32437_24', 'score': 0.7680407762527466}, {'gui_id': '1940', 'ui_comp_id': '1940_6', 'score': 0.7680407762527466}, {'gui_id': '42809', 'ui_comp_id': '42809_16', 'score': 0.7680407762527466}, {'gui_id': '39415', 'ui_comp_id': '39415_3', 'score': 0.7380248308181763}, {'gui_id': '44818', 'ui_comp_id': '44818_4', 'score': 0.7380248308181763}, {'gui_id': '44828', 'ui_comp_id': '44828_3', 'score': 0.7380248308181763}, {'gui_id': '7012', 'ui_comp_id': '7012_0', 'score': 0.7380248308181763}, {'gui_id': '39425', 'ui_comp_id': '39425_1', 'score': 0.7380248308181763}, {'gui_id': '44844', 'ui_comp_id': '44844_1', 'score': 0.7380248308181763}, {'gui_id': '14720', 'ui_comp_id': '14720_2', 'score': 0.7380248308181763}]","""35152""",1,0
774c7102-7340-4a69-bbdf-38e926fd3c98,ea391d5c-034c-4734-bf09-cee1c1c2f733,1,1,product page,seller information,"Is a <b>'seller information'</b> feature relevant for your GUI? This feature provides information about the seller, including their name, rating, and other products they sell.",2023-07-24 13:30:34,"[{'gui_id': '56787', 'ui_comp_id': '56787_10', 'score': 0.8039671778678894}, {'gui_id': '32328', 'ui_comp_id': '32328_13', 'score': 0.8039671778678894}, {'gui_id': '15681', 'ui_comp_id': '15681_2', 'score': 0.7879916429519653}, {'gui_id': '15394', 'ui_comp_id': '15394_20', 'score': 0.6768995523452759}, {'gui_id': '63306', 'ui_comp_id': '63306_20', 'score': 0.6768995523452759}, {'gui_id': '45100', 'ui_comp_id': '45100_12', 'score': 0.6751189231872559}, {'gui_id': '45098', 'ui_comp_id': '45098_11', 'score': 0.6751189231872559}, {'gui_id': '27129', 'ui_comp_id': '45100_13', 'score': 0.6587578058242798}, {'gui_id': '59417', 'ui_comp_id': '45098_12', 'score': 0.6587578058242798}, {'gui_id': '9456', 'ui_comp_id': '15394_19', 'score': 0.6587578058242798}, {'gui_id': '5128', 'ui_comp_id': '63306_19', 'score': 0.6587578058242798}, {'gui_id': '56464', 'ui_comp_id': '27129_11', 'score': 0.6522247791290283}, {'gui_id': '56472', 'ui_comp_id': '27129_13', 'score': 0.6522247791290283}, {'gui_id': '7012', 'ui_comp_id': '59417_24', 'score': 0.640864908695221}, {'gui_id': '65622', 'ui_comp_id': '9456_3', 'score': 0.6356722712516785}]",,0,-1
774c7102-7340-4a69-bbdf-38e926fd3c98,ea391d5c-034c-4734-bf09-cee1c1c2f733,1,1,product page,product specifications,"A <b>'product specifications'</b> feature is often used in similar GUIs, do you need it as well? This feature lists the technical details and specifications of the product, such as dimensions, weight, materials, etc.",2023-07-24 13:31:12,"[{'gui_id': '32429', 'ui_comp_id': '32429_7', 'score': 0.853813886642456}, {'gui_id': '32422', 'ui_comp_id': '32422_24', 'score': 0.853813886642456}, {'gui_id': '25967', 'ui_comp_id': '25967_10', 'score': 0.853813886642456}, {'gui_id': '62331', 'ui_comp_id': '62331_1', 'score': 0.853813886642456}, {'gui_id': '25955', 'ui_comp_id': '62331_4', 'score': 0.853813886642456}, {'gui_id': '25968', 'ui_comp_id': '25955_14', 'score': 0.853813886642456}, {'gui_id': '25958', 'ui_comp_id': '25968_6', 'score': 0.853813886642456}, {'gui_id': '32431', 'ui_comp_id': '25958_9', 'score': 0.853813886642456}, {'gui_id': '31610', 'ui_comp_id': '32431_11', 'score': 0.853813886642456}, {'gui_id': '32428', 'ui_comp_id': '31610_4', 'score': 0.853813886642456}, {'gui_id': '5128', 'ui_comp_id': '32428_23', 'score': 0.853813886642456}, {'gui_id': '27129', 'ui_comp_id': '5128_4', 'score': 0.8075270652770996}, {'gui_id': '59417', 'ui_comp_id': '27129_11', 'score': 0.8075270652770996}, {'gui_id': '9456', 'ui_comp_id': '27129_13', 'score': 0.8075270652770996}, {'gui_id': '7012', 'ui_comp_id': '59417_24', 'score': 0.8010131120681763}]","""5128""",1,11
774c7102-7340-4a69-bbdf-38e926fd3c98,ea391d5c-034c-4734-bf09-cee1c1c2f733,1,1,product page,bundle deals,"Often similar GUIs contain a <b>'bundle deals'</b> feature, shoud we also include in your GUI? This feature offers deals or discounts when the product is purchased in a bundle with other products.",2023-07-24 13:31:42,"[{'gui_id': '32422', 'ui_comp_id': '32422_9', 'score': 0.7318789958953857}, {'gui_id': '45100', 'ui_comp_id': '45100_2', 'score': 0.6934363842010498}, {'gui_id': '45098', 'ui_comp_id': '45098_2', 'score': 0.6934363842010498}, {'gui_id': '42804', 'ui_comp_id': '42804_20', 'score': 0.6934363842010498}, {'gui_id': '42802', 'ui_comp_id': '42802_26', 'score': 0.6934363842010498}, {'gui_id': '32437', 'ui_comp_id': '32437_11', 'score': 0.6934363842010498}, {'gui_id': '36296', 'ui_comp_id': '36296_7', 'score': 0.6934363842010498}, {'gui_id': '15395', 'ui_comp_id': '15395_3', 'score': 0.6934363842010498}, {'gui_id': '42809', 'ui_comp_id': '42809_17', 'score': 0.6934363842010498}, {'gui_id': '65757', 'ui_comp_id': '65757_5', 'score': 0.6934363842010498}, {'gui_id': '27519', 'ui_comp_id': '27519_3', 'score': 0.6912096738815308}, {'gui_id': '6930', 'ui_comp_id': '6930_5', 'score': 0.629462480545044}, {'gui_id': '35152', 'ui_comp_id': '35152_9', 'score': 0.6197109222412109}, {'gui_id': '35151', 'ui_comp_id': '35151_12', 'score': 0.6197109222412109}, {'gui_id': '26200', 'ui_comp_id': '26200_2', 'score': 0.6157886981964111}]","""26200""",1,14
774c7102-7340-4a69-bbdf-38e926fd3c98,ea391d5c-034c-4734-bf09-cee1c1c2f733,1,1,product page,customer reviews,"A <b>'customer reviews'</b> feature seems to be relevant for your query, do you need it in your GUI? This feature allows customers to leave reviews about the product, and also allows potential buyers to read these reviews.",2023-07-24 13:31:58,"[{'gui_id': '20163', 'ui_comp_id': '20163_4', 'score': 0.8388502597808838}, {'gui_id': '2099', 'ui_comp_id': '2099_3', 'score': 0.8051861524581909}, {'gui_id': '69250', 'ui_comp_id': '69250_5', 'score': 0.8051861524581909}, {'gui_id': '45100', 'ui_comp_id': '45100_1', 'score': 0.8051861524581909}, {'gui_id': '69251', 'ui_comp_id': '69251_11', 'score': 0.8051861524581909}, {'gui_id': '45098', 'ui_comp_id': '45098_1', 'score': 0.8051861524581909}, {'gui_id': '42438', 'ui_comp_id': '42438_8', 'score': 0.8051861524581909}, {'gui_id': '11233', 'ui_comp_id': '11233_25', 'score': 0.8051861524581909}, {'gui_id': '11232', 'ui_comp_id': '11232_13', 'score': 0.8051861524581909}, {'gui_id': '54210', 'ui_comp_id': '54210_10', 'score': 0.8051861524581909}, {'gui_id': '62331', 'ui_comp_id': '62331_5', 'score': 0.8051861524581909}, {'gui_id': '3500', 'ui_comp_id': '3500_5', 'score': 0.8051861524581909}, {'gui_id': '33323', 'ui_comp_id': '33323_38', 'score': 0.8051861524581909}, {'gui_id': '55627', 'ui_comp_id': '55627_6', 'score': 0.8051861524581909}, {'gui_id': '34187', 'ui_comp_id': '34187_14', 'score': 0.8051861524581909}]","""20163""",1,0
774c7102-7340-4a69-bbdf-38e926fd3c98,ea391d5c-034c-4734-bf09-cee1c1c2f733,1,1,product page,shipping information,"Is a <b>'shipping information'</b> feature required for the GUI you are searching for? This feature provides information about shipping options, costs, and estimated delivery times.",2023-07-24 13:32:17,"[{'gui_id': '2099', 'ui_comp_id': '2099_8', 'score': 0.9278531074523926}, {'gui_id': '4144', 'ui_comp_id': '4144_45', 'score': 0.9278531074523926}, {'gui_id': '58380', 'ui_comp_id': '58380_45', 'score': 0.9278531074523926}, {'gui_id': '19446', 'ui_comp_id': '19446_13', 'score': 0.9278531074523926}, {'gui_id': '4556', 'ui_comp_id': '4556_18', 'score': 0.7214838862419128}, {'gui_id': '58084', 'ui_comp_id': '58084_4', 'score': 0.7050312757492065}, {'gui_id': '15396', 'ui_comp_id': '15396_0', 'score': 0.7050312757492065}, {'gui_id': '15397', 'ui_comp_id': '15397_2', 'score': 0.7050312757492065}, {'gui_id': '15394', 'ui_comp_id': '15394_5', 'score': 0.7050312757492065}, {'gui_id': '63306', 'ui_comp_id': '63306_5', 'score': 0.7050312757492065}, {'gui_id': '15398', 'ui_comp_id': '15398_0', 'score': 0.7050312757492065}, {'gui_id': '27129', 'ui_comp_id': '27129_7', 'score': 0.6728507280349731}, {'gui_id': '23923', 'ui_comp_id': '19446_9', 'score': 0.6570910811424255}, {'gui_id': '2097', 'ui_comp_id': '23923_3', 'score': 0.6401777267456055}, {'gui_id': '55624', 'ui_comp_id': '2097_4', 'score': 0.6401777267456055}]","""19446""",1,3
774c7102-7340-4a69-bbdf-38e926fd3c98,ea391d5c-034c-4734-bf09-cee1c1c2f733,1,1,product page,product history,"Is a <b>'product history'</b> feature required for the GUI you are searching for? This feature shows the history of the product, including price changes and previous purchases.",2023-07-24 13:32:43,"[{'gui_id': '7012', 'ui_comp_id': '7012_22', 'score': 0.5995745658874512}, {'gui_id': '40882', 'ui_comp_id': '40882_11', 'score': 0.5847876071929932}, {'gui_id': '40883', 'ui_comp_id': '40883_19', 'score': 0.5847876071929932}, {'gui_id': '58089', 'ui_comp_id': '58089_8', 'score': 0.5847876071929932}, {'gui_id': '20163', 'ui_comp_id': '20163_19', 'score': 0.5847876071929932}, {'gui_id': '21255', 'ui_comp_id': '21255_23', 'score': 0.5847876071929932}, {'gui_id': '21263', 'ui_comp_id': '21263_23', 'score': 0.5847876071929932}, {'gui_id': '39415', 'ui_comp_id': '40882_9', 'score': 0.5321804285049438}, {'gui_id': '22031', 'ui_comp_id': '40883_17', 'score': 0.5321804285049438}, {'gui_id': '44818', 'ui_comp_id': '39415_6', 'score': 0.5321804285049438}, {'gui_id': '2099', 'ui_comp_id': '22031_1', 'score': 0.5321804285049438}, {'gui_id': '62337', 'ui_comp_id': '44818_1', 'score': 0.5321804285049438}, {'gui_id': '2260', 'ui_comp_id': '2099_10', 'score': 0.5321804285049438}, {'gui_id': '44828', 'ui_comp_id': '62337_2', 'score': 0.5321804285049438}, {'gui_id': '3787', 'ui_comp_id': '2260_4', 'score': 0.5321804285049438}]",,0,-1
774c7102-7340-4a69-bbdf-38e926fd3c98,ea391d5c-034c-4734-bf09-cee1c1c2f733,1,1,product page,customer photos,"Often similar GUIs contain a <b>'customer photos'</b> feature, shoud we also include in your GUI? This feature allows customers to upload their own photos of the product, providing a more realistic view of the product.",2023-07-24 13:32:58,"[{'gui_id': '40114', 'ui_comp_id': '40114_12', 'score': 0.6241232752799988}, {'gui_id': '40094', 'ui_comp_id': '40094_12', 'score': 0.6241232752799988}, {'gui_id': '33323', 'ui_comp_id': '33323_40', 'score': 0.5723229050636292}, {'gui_id': '39059', 'ui_comp_id': '39059_1', 'score': 0.544694721698761}, {'gui_id': '4564', 'ui_comp_id': '4564_10', 'score': 0.544694721698761}, {'gui_id': '11233', 'ui_comp_id': '11233_17', 'score': 0.544694721698761}, {'gui_id': '40799', 'ui_comp_id': '40799_6', 'score': 0.544694721698761}, {'gui_id': '21264', 'ui_comp_id': '21264_2', 'score': 0.544694721698761}, {'gui_id': '21222', 'ui_comp_id': '21222_5', 'score': 0.544694721698761}, {'gui_id': '14718', 'ui_comp_id': '14718_5', 'score': 0.544694721698761}, {'gui_id': '65607', 'ui_comp_id': '65607_2', 'score': 0.544694721698761}, {'gui_id': '65622', 'ui_comp_id': '65622_4', 'score': 0.544694721698761}, {'gui_id': '17285', 'ui_comp_id': '17285_1', 'score': 0.544694721698761}, {'gui_id': '39415', 'ui_comp_id': '39415_0', 'score': 0.5422497987747192}, {'gui_id': '44818', 'ui_comp_id': '44818_2', 'score': 0.5422497987747192}]",,0,-1
774c7102-7340-4a69-bbdf-38e926fd3c98,ea391d5c-034c-4734-bf09-cee1c1c2f733,1,1,product page,product tags,"Do you need a <b>'product tags'</b> feature in your GUI? This feature includes tags or keywords associated with the product, which can help in search and categorization.",2023-07-24 13:33:18,"[{'gui_id': '6926', 'ui_comp_id': '6926_7', 'score': 0.6151300668716431}, {'gui_id': '32429', 'ui_comp_id': '32429_8', 'score': 0.5906598567962646}, {'gui_id': '32431', 'ui_comp_id': '32431_12', 'score': 0.5906598567962646}, {'gui_id': '4331', 'ui_comp_id': '4331_1', 'score': 0.5668061971664429}, {'gui_id': '39415', 'ui_comp_id': '39415_6', 'score': 0.563629686832428}, {'gui_id': '22031', 'ui_comp_id': '22031_1', 'score': 0.563629686832428}, {'gui_id': '44818', 'ui_comp_id': '44818_1', 'score': 0.563629686832428}, {'gui_id': '2099', 'ui_comp_id': '2099_10', 'score': 0.563629686832428}, {'gui_id': '62337', 'ui_comp_id': '62337_2', 'score': 0.563629686832428}, {'gui_id': '2260', 'ui_comp_id': '2260_4', 'score': 0.563629686832428}, {'gui_id': '44828', 'ui_comp_id': '44828_6', 'score': 0.563629686832428}, {'gui_id': '3787', 'ui_comp_id': '3787_5', 'score': 0.563629686832428}, {'gui_id': '36138', 'ui_comp_id': '36138_0', 'score': 0.563629686832428}, {'gui_id': '54210', 'ui_comp_id': '54210_12', 'score': 0.563629686832428}, {'gui_id': '39425', 'ui_comp_id': '39425_4', 'score': 0.563629686832428}]","""4331""",1,3
