"user_id","gui_id","task_number","gui_number","nlr_query","timestamp","selected_gui_id_initial","selected_gui_id_reselected","rank_methods","ranks_initial","ranks_reselected"
"774c7102-7340-4a69-bbdf-38e926fd3c98","ea391d5c-034c-4734-bf09-cee1c1c2f733","1","1","product page","2023-07-24 13:34:35","gui_69261","gui_69261","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""AFB4"", ""AFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10"", ""DFB11"", ""DFB12""]","[-1, 479, 624, -1, -1, 84, 139, 180, 195, 196, 202, 210]","[-1, 479, 624, -1, -1, 84, 139, 180, 195, 196, 202, 210]"
"36a0a106-544c-41ba-8a87-f9271ebbf589","117a851a-d372-4345-93d1-173083e5c263","1","2","product page","2023-07-24 13:42:09","gui_59872","gui_23359","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9""]","[58, 24, 3, 135, 152, 182, 168, 155, 139]","[-1, 6, 168, 11, 46, 9, 14, 19, 2]"
"a28e2489-c5af-4e30-bf66-f99208fcde37","1eacb360-90eb-4276-a4e0-28330d020e73","1","3","Checkout page","2023-07-24 13:49:42","gui_69333","gui_69333","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""AFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10"", ""DFB11""]","[1, 0, 0, -1, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, -1, 1, 1, 0, 0, 0, 0, 0]"
"fa8883de-719f-4556-b2ec-eb259ac400e2","bdaf422d-d721-44e4-8c80-eb404426171a","3","1","sign up","2023-07-24 13:57:40","gui_69510","gui_69510","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""AFB4"", ""AFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10""]","[95, -1, 262, -1, -1, 1, 2, 2, 1, 2]","[95, -1, 262, -1, -1, 1, 2, 2, 1, 2]"
"c04ffcd2-b9f5-4e4f-baf9-ff055e61d659","828e5bc1-dbf9-47a1-a7c0-919f7eaf95ae","3","2","user profile","2023-07-24 14:05:47","gui_64741","gui_50314","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""AFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10"", ""DFB11""]","[121, -1, 326, -1, 87, 43, 45, 79, 91, 116, 125]","[230, 260, 99, -1, 17, 32, 50, 38, 46, 17, 17]"
"45486bdd-a306-4611-ab2a-b033c1b08bc8","6031ec72-b73c-4399-a614-a875b6d04dff","3","3","friends","2023-07-24 14:12:31","gui_193","gui_193","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7""]","[0, 29, 0, 118, 89, 95, 103]","[0, 29, 0, 118, 89, 95, 103]"
"9f95f568-fe20-4ef1-8d18-38565ab7e388","5c63126c-d909-4531-8672-2cd06d743964","2","1","news feed","2023-07-24 15:08:25","gui_37241","gui_22914","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8""]","[74, 16, 8, 6, 5, 6, 10, 4]","[566, 7, 17, 1, 1, 2, 3, 2]"
"d90dea30-a7f3-44c0-afdf-07c25ef30829","eb476d80-e1c7-467b-82fb-98457aa69174","2","2","article in news app","2023-07-24 15:19:33","gui_50663","gui_55280","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9"", ""DFB10"", ""DFB11""]","[626, 135, 34, 143, 154, 156, 138, 143, 136, 126, 120]","[-1, 79, 196, 258, 43, 26, 49, 73, 72, 85, 92]"
"8ca31c27-2a96-4c9d-bf75-c4b041d3ad49","16120257-80e3-4e78-9f2c-af3d71dd5fea","2","3","comment section for news article","2023-07-24 15:29:11","gui_29062","gui_52482","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5""]","[1, 15, 1, 2, 3]","[-1, 7, 182, 16, 0]"
"fcfbf74b-c077-4af1-8bdb-c56fbd8a8aff","c07d1739-d20f-4e07-a719-61f8f12b5603","3","1","create profile","2023-07-24 15:36:46","gui_67043","gui_4797","[""NLR_SBERT"", ""NLR_S2W"", ""NLR_SBERT_S2W"", ""DFB4"", ""DFB5"", ""DFB6"", ""DFB7"", ""DFB8"", ""DFB9""]","[6, 2, 1, 34, 21, 20, 21, 14, 15]","[185, 8, 8, 50, 59, 16, 18, 3, 2]"
