Zeitstempel,Which degree are you holding?,How would you rate your experience in GUI Prototyping?,How would you rate your experience in software development?,Did you ever use a GUI prototyping tool before?,"If you answered the previous question with yes, which GUI prototyping tools did you use?",How much did SERGUI support you during the prototyping process?,How relevant were the shown GUIs for your initial requirements on average?,How relevant were the recommend GUI features on average?,How relevant were the visualizations of GUI features on average?,How much did the feature recommendations help you in adding relevant features that you did not think about initially?,How much did the visualizations of the feature recommendations help you in better understanding the features?,I think that I would like to use this system frequently,I found the system unnecessarily complex,I thought the system was easy to use,I think that I would need the support of a technical person to be able to use this system,I found the various functions in this system were well integrated,I thought there was too much inconsistency in this system,I would imagine that most people would learn to use this system very quickly,I found the system very cumbersome to use,I felt very confident using the system,I needed to learn a lot of things before I could get going with this system,What did you like about the tool?,What did you not like about the tool?,Feel free to provide any suggestions or ideas what feature could be added to support users better during the prototyping process
2023/07/24 3:17:30 PM OESZ,B.Sc.,2,4,No,,4,4,4,2,4,2,2,2,5,2,4,2,4,2,4,1,the feature recommendations,I didn't understand all feature recommendations and some pictures didn't match to the respective feature.,
2023/07/24 5:00:10 PM OESZ,B.Sc.,2,3,No,,5,5,5,3,5,2,5,1,5,1,4,2,5,1,5,1,the easy use and recommendations of features I didn't think of myself,the description of the recommended features often did not match with the shown visualisations,1) t would be nice to also have the option to search for own features. 2) it would be nice to view the prototypes in larger size before having to select one
2023/07/24 6:01:54 PM OESZ,B.Sc.,2,3,Yes,,4,4,3,3,4,4,4,3,3,2,3,2,4,2,5,1,,,Already chosen features. Going back to previous selection.
2023/07/24 7:28:07 PM OESZ,M.Sc.,1,2,No,,4,5,3,3,5,5,4,1,5,1,4,4,5,1,5,1,"Simplicity, beginner-friendly","Often, the highlighted parts of the image were not what is meant with the feature","Better align highlighted parts of the image to what the feature is. Better filter irrelevant feature image examples. Less images, as almost nobody will scroll to the 100th image. Rather focus on the first ~six being as good as possible."
2023/07/25 11:26:55 AM OESZ,M.Sc.,2,4,No,,5,4,3,3,4,3,4,1,5,1,4,1,5,1,4,1,"Easy to use and understand, helps non-experts ",Some of the proposed features are not relevant and the feature GUI visualization is by far less fitting than the visualization of the initial GUIs ,
2023/07/25 1:19:34 PM OESZ,M.Sc.,3,4,Yes,MockPlus,5,4,5,3,5,4,5,1,5,1,5,1,5,1,5,1,"easy to use; the chat made very good recommendations, which were often well supplied by the images",-,Actively ask in the end if there is something missing the user would like to add
2023/07/25 3:38:39 PM OESZ,M.Sc.,3,4,No,,3,4,5,3,4,5,4,1,5,1,4,2,5,1,5,1,"feature suggestions are very relevant, some dont come to mind easily.",I found the visual suggestions of app quite dated. Very few modern app visualisation,"possibly paired suggestions. For example, for an online clothing store, pair the UI for the product catalogue and the product details page. This could help the user envision the whole GUI."
2023/07/25 5:16:19 PM OESZ,B.Sc.,1,3,No,,5,5,4,4,5,3,5,1,5,2,5,2,5,1,5,2,It's ability to rapidly visualize potential features for my GUI developing process.,"It's inability to sometimes visualize features correctly, this happend mainly in Task 3, GUI 3.",Direct visualization of the choosen new features in the initaly chosen GUI layout.
2023/07/25 6:15:43 PM OESZ,B.Sc.,2,4,No,,4,3,4,2,2,1,4,1,4,1,4,3,4,1,4,1,"The features it suggested usually made a sense, it was quite quick after the initial wait",The visualisations of suggested features rarely matched the feature they were trying to represent which might confuse users,An overview of previously selected features
2023/07/25 9:27:20 PM OESZ,B.Sc.,4,5,No,,3,3,2,3,3,2,3,4,3,1,3,4,3,4,3,2,,,
2023/07/26 11:54:21 AM OESZ,M.Sc.,2,4,No,,5,5,4,3,5,4,4,1,5,1,5,1,5,1,5,1,"The bot, making the requirement specifications more natural.",Some feature visualizations were to some extend confusing.,Optionally provide more details on the specific feature
2023/07/26 7:40:57 PM OESZ,B.Sc.,2,2,Yes,Wireframe,4,4,4,3,5,3,4,2,4,2,3,2,4,2,3,1,The feature proposals ,That some visual feature representations where off  ,
